Swimming at the 2000 Summer Olympics - Men's 4x200 metre freestyle relay,42,144
Athletics at the 1912 Summer Olympics - Men's 110 metre hurdles,6,38
Cycling at the 2000 Summer Olympics - Men's individual road race,42,149
Wrestling  at the 1936 Summer Olympics - Men's Freestyle Lightweight,14,265
Cycling at the 1968 Summer Olympics - Men's Sprint,26,264
Gymnastics at the 1972 Summer Olympics – Women's uneven bars,27,257
Athletics at the 1972 Summer Olympics - Men's High Jump,27,166
Gymnastics at the 1992 Summer Olympics – Women's Balance Beam,37,707
Boxing at the 1968 Summer Olympics - Welterweight,26,548
Shooting at the 1960 Summer Olympics -Men's 25 metre rapid fire pistol,22,509
Judo at the 1980 Summer Olympics - Men's Lightweight (71kg),32,625
Gymnastics at the 1996 Summer Olympics – Men's Vault,40,654
Wrestling at the 1928 Summer Olympics - Men's Freestyle Lightweight,11,265
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Featherweight,11,116
Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,14,371
Weightlifting at the 2012 Summer Olympics – Men's 85 kg,48,703
Basketball at the 2012 Summer Olympics – Men,48,623
Gymnastics at the 2012 Summer Olympics – Women's floor,48,45
Rowing at the 2012 Summer Olympics – Women's lightweight double sculls,48,755
Sailing at the 2008 Summer Olympics - Men's sailboard,46,303
Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Welterweight,32,495
Wrestling at the 1996 Summer Olympics - Men's Freestyle Bantamweight,40,532
Shooting at the 1992 Summer Olympics - Trap,37,22
Athletics at the 2004 Summer Olympics - Men's 200 metres,44,157
Athletics at the 1924 Summer Olympics - Men's 5000 metres,8,505
Canoeing at the 1984 Summer Olympics - Men's C-1 500 metres,33,744
Wrestling at the 1992 Summer Olympics - Men's freestyle Light Heavyweight,37,562
Athletics at the 2004 Summer Olympics - Women's 400 metres Hurdles,44,693
Weightlifting at the 1928 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,11,739
Alpine skiing at the 1948 Winter Olympics - Women's downhill,17,497
Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Light Heavyweight,40,517
Freestyle skiing at the 2002 Winter Olympics – Women's moguls,43,361
Shooting at the 2008 Summer Olympics - Women's 25 metre pistol,46,555
Badminton at the 2008 Summer Olympics - Women's doubles,46,186
Swimming at the 2008 Summer Olympics - Men's 50 metre freestyle,46,653
Athletics at the 2004 Summer Olympics - Men's 110 metre hurdles,44,38
Canoeing at the 2008 Summer Olympics - Men's C-1 1000 metres,46,259
Wrestling at the 1984 Summer Olympics - Men's Freestyle Light heavyweight,33,562
Wrestling at the 1980 Summer Olympics - Men's freestyle Light Heavyweight,32,562
Rowing at the 2008 Summer Olympics - Men's eight,46,427
Wrestling at the 1984 Summer Olympics - Men's Greco-Roman Lightweight,33,455
Wrestling at the 2008 Summer Olympics - Men's freestyle Super Heavyweight,46,779
Wrestling at the 1976 Summer Olympics - Men's freestyle Lightweight,30,218
Swimming at the 2008 Summer Olympics - Women's 800 metre freestyle,46,656
Shooting at the 1992 Summer Olympics - Men's 50 metre rifle; three positions,37,697
Shooting at the 1920 Summer Olympics - Men's 600 metre military rifle; prone,7,357
Rowing at the 2008 Summer Olympics - Women's eight,46,789
Speed Skating at the 1924 Winter Olympics - Men's 5000m,9,583
Athletics at the 2008 Summer Olympics - Women's heptathlon,46,248
Sailing at the 2008 Summer Olympics - 49er class,46,26
Wrestling at the 2004 Summer Olympics - Women's Freestyle Heavyweight,44,145
Athletics at the 2008 Summer Olympics - Men's 1500 metres,46,311
Weightlifting at the 1996 Summer Olympics - Men's 54-59 kg,40,549
Cross-Country Skiing at the 1936 Winter Olympics - Men's 18 km,15,544
Equestrian at the 2008 Summer Olympics - Jumping; Individual,46,210
Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Welterweight,40,495
Volleyball at the 1988 Summer Olympics - Women's volleyball,36,103
Athletics at the 2008 Summer Olympics - Women's DiscusThrow,46,196
Athletics at the 1964 Summer Olympics - Men's pole vault,24,587
Swimming at the 1972 Summer Olympics - Women's 800 metre freestyle,27,656
Swimming at the 1972 Summer Olympics - Men's 100 metre breaststroke,27,142
Gymnastics at the 1960 Summer Olympics – Men's rings,22,58
Cross-country skiing at the 2010 Winter Olympics – Men's team sprint,47,390
Swimming at the 1968 Summer Olympics - Women's 200 metre breaststroke,26,95
Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,33,697
Gymnastics at the 1984 Summer Olympics - Men's Floor Exercises,33,511
Archery at the 1984 Summer Oympics - Women's Individual,33,487
Rowing at the 2000 Summer Olympics - Women's Single Sculls,42,124
Archery at the 2012 Summer Olympics – Women's team,48,749
Gymnastics at the 2012 Summer Olympics – Women's uneven bars,48,257
Equestrian at the 2012 Summer Olympics - Team eventing,48,225
Table Tennis at the 2012 Summer Olympics- Men's Team,48,56
Taekwondo at the 2012 Summer Olympics – Men's 68 kg,48,642
Canoeing at the 2012 Summer Olympics – Men's slalom K-1,48,447
Judo at the 2012 Summer Olympics – Men's 60 kg,48,705
Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 74 kg,48,635
Speed skating at the 1998 Winter Olympics - Women's 500m,41,69
Bobsleigh at the 2002 winter Olympics - Four Man Bobsleigh,43,384
Swimming at the 1932 Summer Olympics - Women's 100 metre freestyle,13,51
Wrestling at the 1968 Summer Olympics - Men's Greco-Roman Bantamweight,26,454
Canoeing at the 1992 Summer Olympics - Men's C-1 1000 metres,37,259
Weightlifting at the 1932 Summer Olympics - Men's Featherweight 60 kg,13,591
Athletics at the 2012 Summer Olympics – Men's 1500 metres,48,311
Fencing at the 2012 Summer Olympics - Women's Foil; Individual,48,65
Snowboarding at the 1998 Winter Olympics - Men's Halfpipe,41,743
Swimming at the 2008 Summer Olympics - Men's 1500 metre freestyle,46,704
Boxing at the 1936 Summer Olympics - Men's heavyweight,14,407
Wrestling at the 2008 Summer Olympics - Men's Freestyle Featherweight,46,36
Tennis at the 2008 Summer Olympics - Men's Singles,46,766
Rowing at the 2008 Summer Olympics - Men's lightweight double sculls,46,263
Judo at the 2008 Summer Olympics – Women's 52 kg,46,283
Wrestling at the 1996 Summer Olympics - Men's Freestyle Light Heavyweight,40,562
Fencing at the 1980 Summer Olympics - Women's Foil; Individual,32,65
Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Light Heavyweight,8,674
Cross Country Skiing at the 1972 Winter Olympics -Women's 10km,28,67
Shooting at the 2004 Summer Olympics - Women's Double Trap,44,445
Weightlifting at the 1948 Summer Olympics - Men's Middleweight 67.5-75 kg,16,202
Alpine Skiing at the 1964 Winter Olympics - Women's Slalom,24,733
Cross Country Skiing at the 1998 Winter Olympics - Women's 5km,41,375
Athletics at the 1968 Summer Olympics - Men's 5000 metres,26,505
Boxing at the 1952 Summer Olympics - Flyweight,18,451
Boxing at the 1952 Summer Olympics - Light Middleweight,18,131
Weightlifting at the 1976 Summer Olympics - Men's Featherweight 56-60 kg,30,575
Athletics at the 1976 Summer Olympics - Men's Pole Vault,30,587
Athletics at the 1952 Summer Olympics – Men's 110 metres hurdles,18,38
Sailing at the 2004 Summer Olympics - Men's sailboard,44,303
Athletics at the 1960 Summer Olympics – Men's 5000 metres,22,505
Wrestling at the 1908 Summer Olympics - Men's freestyle middleweight,5,314
Swimming at the 1992 Summer Olympics - Men's 200 metre backstroke,37,319
