Men's Boxing; featherweight 54-58kg,44
Men's Boxing; Flyweight -50.8kg,44
Men's Boxing; Light Welterweight 60-63.5,44
Men's boxing; heavyweight +80,44
Women's Boxing; Flyweight 51kg,44
Men's Boxing; Heavyweight +71.7kg,44
Men's Boxing; Middleweight 67-73,44
Men's Boxing; 48 - 51kg (flyweight),44
Men's Boxing; Flyweight  -47.6 kg,44
Men's Boxing; Bantamweight 50.8-53.5kg,44
Men's Boxing; Bantamweight -52.6 kg,44
Men's Boxing; Middleweight 71-75kg,44
Men's Boxing; Bantamweight 51 - 54kg,44
Women's boxing,44
Men's Boxing; Featherweight 52.6-57.2 kg,44
Men's Boxing; Light Heavyweight 73-80kg,44
Men's Boxing; Featherweight 54 - 57 kg,44
Men's Boxing; Heavyweight +79.4kg,44
Men's Boxing; Light Heavyweight 72.6-79.4kg,44
Men's Boxing; Light Heavyweight 75 - 81kg,44
Men's Boxing; Heavyweight 81 - 91kg,44
Men's Boxing; Flyweight - 51,44
Men's Boxing; Middleweight 66.7-72.6kg,44
Men's Boxing; 65.8-71.7kg (middleweight),44
Men's Boxing; Lightweight 57.2-63.5kg,44
Men's Boxing; Welterweight 64-69 kg,44
Men's Boxing; Middleweight 63.5-71.7kg,44
Men's Boxing; Featherweight 52.2-56.7kg,44
Men's Boxing; Welterweight 63.5-67kg,44
Men's Boxing; Lightweight 56.7-61.2kg,44
Men's Boxing; Middleweight 69 - 75 kg,44
Men's Boxing; 60 - 64 kg (light welterweight),44
Men's Boxing; Featherweight 53.5-57.2kg,44
Men's Boxing; Welterweight  61.2-65.8kg,44
Men's Boxing; - Light Flyweight -48kg,44
Men's Boxing; Welterweight 61.2-66.7kg,44
Men's 500m,51
Women's 1500m,51
Men's 1000m,51
Women's 500m,51
Women's 3000m Relay,51
Men's 5000m Relay,51
Men's 1500 m,51
Women's 1000m,51
Women's BMX Cycling,52
BMX racing,52
Women's Foil team,55
Men's Foil Team,55
Women's Foil individual,55
Men's Foil individual,55
Men's Sabre individual,55
Women's Sabre individual,55
Women's Épée individual,55
Men's Sabre team,55
Masters Foil,55
Single Sticks,55
Masters Sabre,55
Men's Amateurs-Masters épée,55
Women's Sabre team,55
Masters Épée,55
Men's Épée team,55
Women's Épée team,55
Men's Épée individual,55
Team figure skating,56
Women's Singles,56
Ice dancing,56
Special Figures,56
Pair skating,56
Figure skating - Men's singles,56
Jeu de Paume,58
Men's baseball,59
Women's Floor exercises,60
Men's Rings,60
Women's Vault,60
Men's  Tumbling,60
Women's Uneven bars,60
Men's Pommel horse,60
Women's Gymnastics; individual all-round,60
Club Swinging,60
Rope climbing,60
Men's Sidehorse Vault,60
Indian clubs,60
Women's Gymnastics;  team competition,60
Men's Floor exercises,60
Men's Gymnastics;  team competition,60
Men's Gymnastics; individual all-round,60
Men's Vault,60
Men's Parallel bars,60
Gymnastics; Combined Competition (4 events),60
Artistic Gymnastics at the 2008 Summer Olympics,60
Men's Horizontal bar,60
Women's Balance Beam,60
Men's Gymnastic; triathlon,60
Women's K-2 500m (kayak double),61
Men's K1 10;000m Kayak Singles,61
Men's C-1 1000m (canoe single),61
Men's C-2 500m (canoe double),61
Men's K-1 1000m (kayak single),61
Men's K-1 200m (kayak single),61
Men's C-1 200m (canoe single),61
Men's C-2 1000m (canoe double),61
Women's K-4 500m (kayak four),61
Men's C-1 10000 metres,61
Men's K-2 200m (kayak double),61
Men's K-4 1000m (kayak four),61
Women's K-1 200m (kayak single),61
Men's K-2 1000m (kayak double),61
Men's K1 10;000m Folding Kayak Singles,61
Men's C-1 500m (canoe single),61
Women's K-1 500m (kayak single),61
Men's K-1 500m (kayak single),61
Men's K-2 500m (kayak double),61
Men's Road Cycling; Individual Time Trial,62
Men's Road cycling; individual road race,62
Women's Road cycling; individual road race,62
Women's Road cycling; individual time trial,62
Women's handball,64
Men's handball,64
Winter pentathlon at the 1948 Winter Olympics,65
Men's Modern pentathlon,66
Women's Modern pentathlon,66
Men's Greco-Roman Featherweight,71
Men's Greco-Roman Wrestling; Featherweight 57-62 kg,71
Men's Greco Roman Wrestling; Middleweight 76-85 kg,71
Men's Greco-Roman Wrestling; Lightweight 63-69 kg,71
Men's Greco-Roman Wrestling; Light Flyweight  -48kg,71
Men's Greco-Roman Wrestling; Featherweight 58-62 kg,71
Men's Greco-Roman Wrestling; Featherweight 57-63 kg,71
Men's Greco-Roman Wrestling;  Welterweight 67-73 kg,71
Men's Greco-Roman Wrestling; Light Heavyweight,71
Men's Greco-Roman; Heavyweight +97kg,71
Greco-Roman Wrestling Super Heavyweight 97-130 kg,71
Men's Greco-Roman Wrestling; Lightweight  63-70 kg,71
Men's Greco-Roman Wrestling; Light Heavyweight 87-97kg,71
Men's Greco-Roman Wrestling; Middleweight 75 kg,71
Men's Greco-Roman Wrestling; Super Heavyweight 96-120 kg,71
Men's Greco-Roman Wrestling; Middleweight 67.5-75 kg,71
Men's Greco-Roman Wrestling; Bantamweight 55kg,71
Men's Greco-Roman Wrestling; Heavyweight +82.5,71
Men's Greco-Roman Wrestling; Heavyweight,71
Men's Greco-Roman Wrestling; Light Heavyweight 79-87kg,71
Men's Greco-Roman Wrestling; Heavyweight +87,71
Men's Greco-Roman Wrestling; Open,71
Men's Greco-Roman Wrestling; Super Heavyweight  +100 kg,71
Men's Greco-Roman Wrestling; Welterweight 66 - 72 kg,71
Men's Greco-Roman Wrestling; Featherweight -60,71
Men's Greco-Roman Wrestling; Super Heavyweight 100-130 kg,71
Men's Greco-Roman Wrestling; Heavyweight 84-96 kg,71
Men's Greco Roman Wrestling; Welterweight 69-76 kg,71
Men's Greco-Roman Wrestling; Bantamweight 52-57kg,71
Men's Greco-Roman Wrestling; Lightweight 62-68 kg,71
Men's Greco-Roman Wrestling; Middleweight  74-82kg,71
Men's Greco-Roman Wrestling; Lightweight 61-66 kg,71
Men's Greco-Roman Welterweight; 70-78 kg,71
