Iocode,event,medal,medalist
RUS,Athletics at the 2000 Summer Olympics - Men's 20 km walk,3,Vladimir Andreyev
NZL,Athletics at the 1936 Summer Olympics – Men's 1500 metres,1,Jack Lovelock
USA,Athletics at the 1956 Summer Olympics - Men's Decathlon,2,Rafer Johnson
DEN,Cycling at the 1980 Summer Olympics - Men's Individual Pursuit,3,Hans-Henrik Ørsted
FRA,Fencing at the 2004 Summer Olympics - Women's Épée; Individual,2,Laura Flessel-Colovic
USA,Figure skating at the 1928 Winter Olympics - Women's Singles,3,Beatrix Loughran
FRA,Fencing at the 1900 Summer Olympics - Men's foil,2,Henri Masson
GDR,Athletics at the 1972 Summer Olympics - Women's 100 metres hurdles,1,Annelie Ehrhardt
POR,Athletics at the 1988 Summer Olympics - Women's Marathon,1,Rosa Mota
NGR,Football at the 1996 Summer Olympics - Men's tournament,1,Kingsley Obiekwu;Uche Okechukwu;Victor Ikpeba;Celestine Babayaro;Emmanuel Amuneke;Wilson Oruma;Taribo West;Daniel Amokachi;Jay-Jay Okocha;Tijjani Babangida;Emmanuel Babayaro;Abiodun Obafemi;Garba Lawal;Teslim Fatusi;Dosu Joseph;Sunday Oliseh;Mobi Oparaku;Nwankwo Kanu
KAZ,Shooting at the 1996 Summer Olympics - Men's 50 metre rifle; three positions,2,Sergey Belyayev
USA,Athletics at the 2004 Summer Olympics - Men's 4 x 100 metres relay,2,Darvis Patton;Maurice Greene;Shawn Crawford;Coby Miller;Justin Gatlin
GER,Athletics at the 1936 Summer Olympics – Men's 4x100 metre relay,3,Erich Borchmeyer;Erwin Gillmeister;Gerd Hornberger;Wilhelm Leichum
USA,Diving at the 1956 Summer Olympics - Women's 3 metre springboard,1,Patricia McCormick
USA,Swimming at the 1984 Summer Olympics - Men's 100 metre backstroke,2,Dave Wilson
KOR,Boxing at the 2008 Summer Olympics - Welterweight,3,Kim Jung-Joo
ITA,Figure skating at the 2010 Winter Olympics – Pair skating,,Yannick Kocon;Nicole Della Monica
SUI,Gymnastics at the 1904 Summer Olympics - Men's triathlon,1,Adolf Spinnler
USA,Alpine skiing at the 2010 Winter Olympics – Women's Super Combined,2,Julia Mancuso
USA,Snowboarding at the 2010 Winter Olympics – Women's halfpipe,3,Kelly Clark
NOR,Cross-country skiing at the 2010 Winter Olympics – Women's 30 kilometre classical,2,Marit Bjørgen
JAM,Athletics at the 1996 Summer Olympics – Women's 100 metres,2,Merlene Ottey
SUI,Rowing at the 1996 Summer Olympics - Men's Single Sculls,1,Xeno Müller
CHN,Diving at the 2000 Summer Olympics - Men's 10 metre platform,2,Hu Jia
GBR,Rowing at the 2000 Summer Olympics – Men's coxless fours,1,James Cracknell;Steve Redgrave;Matthew Pinsent;Tim Foster
FRA,Boxing at the 2008 Summer Olympics - Lightweight,2,Daouda Sow
GBR,Shooting at the 1908 Summer Olympics - Men's single-shot running deer,3,Alexander Rogers
ITA,Fencing at the 1936 Summer Olympics - Men's Épée; Individual,3,Giancarlo Cornaggia Medici
FRA,Cycling at the 1924 Summer Olympics – Men's Individual Time Trial,3,René Hamel
GER,Fencing at the 2012 Summer Olympics - Men's team foil,3,Peter Joppich;André Weßels;Benjamin Kleibrink;Sebastian Bachmann
CHN,Wrestling at the 2012 Summer Olympics – Women's freestyle 63 kg,2,Jing Ruixue
CHN,Athletics at the 2012 Summer Olympics - Men's 50 km walk,3,Si Tianfeng
GBR,Boxing at the 2012 Summer Olympics – Men's super heavyweight,1,Anthony Joshua
SVK,Shooting at the 2012 Summer Olympics - Women's Trap,2,Zuzana Štefe?eková
CZE,Canoeing at the 2012 Summer Olympics – Men's K-4 1000 metres,3,Lukas Trefil;Josef Dostál;Daniel Havel;Jan Št?rba
CUB,Boxing at the 2012 Summer Olympics – Men's bantamweight,3,Lázaro Álvarez
CAN,Diving at the 2012 Summer Olympics – Women's synchronized 3 metre springboard,3,Jennifer Abel;Émilie Heymans
NED,Judo at the 2012 Summer Olympics – Women's 70 kg,3,Edith Bosch
POL,Rowing at the 2012 Summer Olympics – Women's double sculls,3,Julia Michalska;Magdalena Fularczyk
CAN,Canoeing at the 2012 Summer Olympics – Men's K-1 1000 metres,2,Adam van Koeverden
COL,Judo at the 2012 Summer Olympics – Women's 70 kg,3,Yuri Alvear
USA,Basketball at the 2012 Summer Olympics – Men,1,Anthony Davis;LeBron James;Carmelo Anthony;Deron Williams;Kevin Durant;Kevin Love;Tyson Chandler;Chris Paul;Russell Westbrook;James Harden;Kobe Bryant;Andre Iguodala
USA,Football at the 2012 Summer Olympics – Women's tournament,1,Tobin Heath;Christie Rampone;Hope Solo;Heather O'Reilly;Carli Lloyd;Sydney Leroux;Amy Rodriguez;Megan Rapinoe;Amy LePeilbet;Abby Wambach;Kelley O'Hara;Rachel Buehler;Heather Mitts;Nicole Barnhart;Alex Morgan;Shannon Boxx;Becky Sauerbrunn;Lauren Cheney
AZE,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 74 kg,3,Emin Ahmadov
RUS,Fencing at the 2008 Summer Olympics - Women's team foil,1,Svetlana Boyko;Aida Chanaeva;Victoria Nikichina;Evgenia Lamonova
CMR,Athletics at the 2008 Summer Olympics - Women's triple jump,1,Françoise Mbango Etone
CHN,Diving at the 2008 Summer Olympics – Men's synchronized 10 metre platform,1,Lin Yue;Huo Liang
RUS,Swimming at the 2008 Summer Olympics - Men's 100 metre backstroke,3,Arkady Vyatchanin
BRA,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,3,Ricardo Santos;Emanuel Rego
ESP,Fencing at the 2008 Summer Olympics - Men's Épée; Individual,3,Jose Luis Abajo
MAR,Athletics at the 2004 Summer Olympics - Men's 1;500 metres,1,Hicham El Guerrouj
USA,Synchronized swimming at the 2004 Summer Olympics - Women's team,3,Tammy Crow
NED,Sailing at the 2012 Summer Olympics – Men's sailboard,1,Dorian van Rijsselberge
CUB,Athletics at the 2012 Summer Olympics – Men's decathlon,3,Leonel Suárez
USA,Athletics at the 2012 Summer Olympics – Women's 200 metres,3,Carmelita Jeter
KOR,Fencing at the 2012 Summer Olympics - Men's team sabre,1,Won Woo-Young;Oh Eun-Seok;Kim Jung-Hwan;Gu Bon-Gil
GER,Athletics at the 2012 Summer Olympics – Women's javelin throw,3,Linda Stahl
RUS,Fencing at the 2012 Summer Olympics - Women's team foil,2,Kamilla Gafurzianova;Inna Deriglazova;Aida Chanaeva
RSA,Athletics at the 2012 Summer Olympics – Women's 800 metres,2,Caster Semenya
GER,Table tennis at the 2012 Summer Olympics – Men's singles,3,Dimitrij Ovtcharov
ALG,Athletics at the 2012 Summer Olympics – Men's 1500 metres,1,Taoufik Makhloufi
GDR,Athletics at the 1988 Summer Olympics - Women's 800 metres,1,Sigrun Wodars
USA,Boxing at the 2000 Summer Olympics - Featherweight,2,Rocky Juarez
USA,Swimming at the 1972 Summer Olympics - Women's 100 metre freestyle,1,Sandra Neilson
MEX,Boxing at the 2000 Summer Olympics - Lightweight,3,Cristián Bejarano
CUB,Athletics at the 2000 Summer Olympics - Men's triple jump,2,Yoel García
UKR,Cycling at the 2000 Summer Olympics - Women's Sprint,3,Iryna Yanovych
KEN,Athletics at the 2000 Summer Olympics – Men's 10000 metres,2,Paul Tergat
TCH,Gymnastics at the 1964 Summer Olympics - Women's Vault,1,V?ra ?áslavská
CHN,Judo at the 2000 Summer Olympics - Women's +78 kg,1,Yuan Hua
SWE,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Middleweight,2,Ara Abrahamian
UKR,Wrestling at the 2004 Summer Olympics - Men's Freestyle Lightweight,1,Elbrus Tedeyev
CAN,Short Track Speed Skating at the 2006 Winter Olympics – Women's 500m,3,Anouk Leblanc-Boucher
USA,Boxing at the 2004 Summer Olympics - Light Heavyweight,1,Andre Ward
HUN,Athletics at the 1964 Summer Olympics - Men's shot put,3,Vilmos Varjú
GER,Sailing at the 2000 Summer Olympics - Women's Sailboard,2,Amelie Lux
CUB,Judo at the 2004 Summer Olympics - Women's +78 kg,2,Daima Beltran
RUS,Weightlifting at the 2004 Summer Olympics - Men's Heavyweight 94 - 105 kg,1,Dmitry Berestov
RUS,Athletics at the 2004 Summer Olympics - Women's 20 km Walk,2,Olimpiada Ivanova
NZL,Equestrian at the 2000 Summer Olympics - Individual Eventing,3,Mark Todd
UKR,Gymnastics at the 1996 Summer Olympics – Men's parallel bars,1,Rustam Sharipov
EGY,Boxing at the 2004 Summer Olympics - Light Heavyweight,3,Ahmed Ismail
URS,Weightlifting at the 1988 Summer Olympics - Men's Bantamweight 52-56 kg,1,Oksen Mirzoyan
AUS,Swimming at the 2000 Summer Olympics - Men's 100 metre butterfly,3,Geoff Huegill
UKR,Athletics at the 1996 Summer Olympics - Women's high jump,3,Inha Babakova
BRA,Athletics at the 2004 Summer Olympics - Men's marathon,3,Vanderlei de Lima
USA,Gymnastics at the 1984 Summer Olympics – Men's vault,2,Mitch Gaylord
USA,Tennis at the 2000 Summer Olympics - Women's Singles,1,Venus Williams
JPN,Wrestling at the 1984 Summer Olympics - Men's Freestyle Featherweight,2,Kosei Akaishi
BLR,Boxing at the 2004 Summer Olympics - Light Heavyweight,2,Magomed Aripgadjiev
USA,Athletics at the 1984 Summer Olympics - Men's 400 metres,1,Alonzo Babers
TUR,Taekwondo at the 2000 Summer Olympics - Women's 57 kg,3,Hamide B?kç?n Tosun
CHN,Athletics at the 2000 Summer Olympics – Women's 20 km walk,1,Wang Liping
RUS,Gymnastics at the 2000 Summer Olympics – Women's vault,3,Yekaterina Lobaznyuk
CZE,Shooting at the 2008 Summer Olympics - Women's 50 metre rifle; three positions,2,Kate?ina Emmons
CAN,Skeleton at the 2006 Winter Olympics – Men's Skeleton,1,Duff Gibson
USA,Athletics at the 1956 Summer Olympics - Men's 110 metre hurdles,3,Joel Shankle
NED,Swimming at the 1900 Summer Olympics - Men's 200 metre backstroke,3,Johannes Drost
UZB,Cycling at the 2004 Summer Olympics - Men's individual road race,,Sergey Lagutin
TCH,Gymnastics at the 1924 Summer Olympics – Men's artistic individual all-around,3,Bed?ich Šup?ík
FIN,Ski jumping at the 1998 Winter Olympics - Large Hill,2,Jani Soininen
ITA,Judo at the 1992 Summer Olympics - Women's Middleweight (66kg),2,Emanuela Pierantozzi
SUI,Alpine skiing at the 1948 Winter Olympics - Women's downhill,1,Hedy Schlunegger
SWE,Wrestling at the 1952 Summer Olympics - Greco-Roman Middleweight,1,Axel Grönberg
GDR,Swimming at the 1980 Summer Olympics - Women's 100 metre backstroke,2,Ina Kleber
CHN,Freestyle Skiing at the 1998 Winter Olympics - Women's Aerials,2,Xu Nannan
BUL,Weightlifting at the 1992 Summer Olympics - Men's Featherweight 56-60 kg,2,Nikolay Pechalov
RUS,Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Lightweight,3,Aleksandr Tretyakov
USA,Athletics at the 1928 Summer Olympics - Men's 400 metres,1,Ray Barbuti
SUI,Alpine Skiing at the 1960 Winter Olympics - Men's Giant Slalom,1,Roger Staub
URS,Wrestling at the 1952 Summer Olympics - Greco-Roman Heavyweight,1,Johannes Kotkas
URS,Cross Country Skiing at the 1992 Winter Olympics -Women's 10km pursuit,3,Yelena Välbe
TCH,Boxing at the 1980 Summer Olympics - Light Middleweight,3,Ján Franek
GER,Athletics at the 1992 Summer Olympics - Women's high jump,1,Heike Henkel
GER,Athletics at the 1936 Summer Olympics – Women's high jump,3,Elfriede Kaun
URS,Weightlifting at the 1956 Summer Olympics - Men's Bantamweight -56 kg,2,Vladimir Stogov
USA,Weightlifting at the 1952 Summer Olympics - Men's Middle Heavyweight  82.5-90 kg,1,Norbert Schemansky
USA,Boxing at the 1928 Summer Olympics - Men's featherweight,3,Harold Devine
USA,Athletics at the 1956 Summer Olympics - Men's 200 metres,2,Andy Stanfield
POL,Athletics at the 1980 Summer Olympics - Men's 3000 metre steeplechase,1,Bronis?aw Malinowski
USA,Athletics at the 1952 Summer Olympics – Men's 100 metres,1,Lindy Remigino
ARG,Boxing at the 1924 Summer Olympics - Men's welterweight,2,Hector Mendez
MEX,Athletics at the 1996 Summer Olympics - Men's 20 km walk,3,Bernardo Segura
NOR,Cross-Country Skiing at the 2002 Winter Olympics - 20km  Pursuit (10km + 10km),1,Thomas Alsgaard
USA,Athletics at the 1936 Summer Olympics – Men's 400 metres,3,James LuValle
POL,Boxing at the 1980 Summer Olympics - Featherweight,3,Krzysztof Kosedowski
FIN,Athletics at the 1948 Summer Olympics - Men's pole vault,2,Erkki Kataja
AUS,Swimming at the 1992 Summer Olympics - Men's 100 metre breaststroke,3,Phil Rogers
FIN,Wrestling at the 1924 Summer Olympics - Men's Freestyle Welterweight,2,Eino Leino
USA,Athletics at the 1988 Summer Olympics - Women's High Jump,1,Louise Ritter
EGY,Weightlifting at the 1948 Summer Olympics - Men's Featherweight 56-60 kg,1,Mahmoud Fayad
GBR,Boxing at the 1920 Summer Olympics - Men's middleweight,1,Harry Mallin
FIN,Athletics at the 1972 Summer Olympics - Men's 5000 metres,1,Lasse Virén
PUR,Boxing at the 1976 Summer Olympics - Light Flyweight,3,Orlando Maldonado
FRA,Shooting at the 1936 Summer Olympics - Men's 50 metre pistol,3,Charles des Jammonières
CAN,Speed Skating at the 1984 Winter Olympics - Men's 1000m,1,Gaétan Boucher
DEN,Wrestling at the 1920 Summer Olympics - Men's freestyle light heavyweight,3,Walter Maurer
NOR,Ski Jumping at the 1936 Winter Olympics - Large Hill,1,Birger Ruud
AUT,Alpine skiing at the 2006 Winter Olympics - Women's Super-G,3,Alexandra Meissnitzer
USA,Swimming at the 1996 Summer Olympics - Women's 100 metre butterfly,3,Angel Martino
COL,Shooting at the 1972 Summer Olympics - Men's  50 metre running target,2,Helmut Bellingrodt
GER,Equestrian at the 1936 Summer Olympics - Dressage; Individual,1,Heinz Pollay
SWE,Shooting at the 1920 Summer Olympics - Men's 600 metre military rifle; prone,2,Mauritz Eriksson
USA,Equestrian at the 2008 Summer Olympics - Jumping; Individual,3,Beezie Madden
URS,Gymnastics at the 1960 Summer Olympics – Women's uneven bars,1,Polina Astakhova
USA,Freestyle Skiing at the 2002 Winter Olympics - Men's Aeriels,2,Joe Pack
URS,Figure Skating at the 1976 Winter Olympics - Men's Singles,2,Vladimir Kovalev
FRA,Boxing at the 1920 Summer Olympics - Men's featherweight,1,Paul Fritsch
URS,Wrestling at the 1956 Summer Olympics - Men's Freestyle Middleweight,3,Georgi Skhirtladze
HUN,Modern Pentathlon at the 1980 Summer Olympics - Men's Individual,2,Tamas Szombathelyi
ITA,Cycling at the 1968 Summer Olympics - Men's Sprint,2,Giordano Turrini
KOR,Judo at the 1992 Summer Olympics - Women's Half Heavyweight (72k),1,Kim Mi-Jung
GBR,Athletics at the 1968 Summer Olympics - Men's 400 metre hurdles,1,David Hemery
PRK,Weightlifting at the 1980 Summer Olympics - Men's Flyweight -52 kg,3,Gyong Si Han
NOR,Shooting at the 1948 Summer Olympics - Men's 300 metre rifle; three positions,3,Willy Røgeberg
CHN,Weightlifting at the 1996 Summer Olympics - Men's Lightweight 64-70 kg,1,Zhan Xugang
FRA,Cycling at the 1924 Summer Olympics – Men's sprint,3,Jean Cugnot
WGE,Athletics at the 1968 Summer Olympics - Men's 400 metre hurdles,2,Gerhard Hennige
LUX,Cycling at the 2004 Summer Olympics - Men's individual road race,,Fränk Schleck
GBR,Tennis at the 1912 Summer Olympics - Women's Indoor Singles,1,Edith Hannam
KEN,athletics at the 1968 Summer Olympics - Men's 3000 metre Steeplechase,1,Amos Biwott
ROU,Boxing at the 1980 Summer Olympics - Bantamweight,3,Dumitru Cipere
RUS,Cycling at the 1996 Summer Olympics - Women's road time trial,1,Zulfiya Zabirova
USA,Golf at the 1904 Summer Olympics - Men's individual,2,H. Chandler Egan
POL,Athletics at the 1928 Summer Olympics - Women's Discus Throw,1,Halina Konopacka
UGA,Athletics at the 1972 Summer Olympics - Men's 400 metre hurdles,1,John Akii-Bua
FRA,Wrestling at the 1928 Summer Olympics - Men's Freestyle Heavyweight,3,Edmond Dame
EUA,Shooting at the 1960 Summer Olympics – Men's 50 metre rifle three positions,3,Klaus Zähringer
EGY,Tennis at the 1896 Summer Olympics - Men's singles,2,Dionysios Kasdaglis
GDR,Weightlifting at the 1980 Summer Olympics - Men's Lightweight 60-67.5 kg,2,Joachim Kunz
BUL,Wrestling at the 1972 Summer Olympics - Men's freestyle Light Flyweight,2,Ognian Nikolov
USA,Boxing at the 1976 Summer Olympics - Heavyweight,3,John Tate
FRA,Freestyle Skiing at the 1994 Winter Olympics - Men's Moguls,3,Edgar Grospiron
SUI,Wrestling at the 1924 Summer Olympics - Men's Freestyle Heavyweight,2,Henri Wernli
POL,Weightlifting at the 1976 Summer Olympics - Men's Lightweight 60-67.5 kg,3,Kazimierz Czarnecki
HUN,Swimming at the 1992 Summer Olympics - Women's 400 metre Individual Medley,1,Krisztina Egerszegi
AUS,Weightlifting at the 1984 Summer Olympics - Men's Light Heavyweight 75-82.5kg,2,Robert Kabbas
JPN,Swimming at the 2008 Summer Olympics - Men's 200 metre butterfly,3,Takeshi Matsuda
CUB,Athletics at the 1992 Summer Olympics - Men's discus throw,3,Roberto Moya
FIN,Wrestling at the 1928 Summer Olympics - Men's Freestyle Lightweight,3,Eino Leino
UTA,Gymnastics at the 1992 Summer Olympics – Men's rings,1,Vitaly Scherbo
ITA,Boxing at the 2008 Summer Olympics - Super heavyweight,1,Roberto Cammarelle
NOR,Speed Skating at the 1964 Winter Olympics - Men's 500m,2,Alv Gjestvang
CHN,Boxing at the 2012 Summer Olympics – Women's middleweight,3,Li Jinzi
USA,Athletics at the 2012 Summer Olympics – Men's 1500 metres,2,Leonel Manzano
LAT,Beach volleyball at the 2012 Summer Olympics – Men's tournament,3,M?rti?š P?avi?š;J?nis Šm?di?š
JAM,Athletics at the 2012 Summer Olympics – Men's 200 metres,2,Yohan Blake
NED,Cycling at the 2012 Summer Olympics – Men's Keirin,3,Teun Mulder
SWE,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 120 kg,3,Johan Eurén
RUS,Boxing at the 2012 Summer Olympics – Men's welterweight,3,Andrey Zamkovoy
NED,Sailing at the 2012 Summer Olympics – Women's Laser Radial class,2,Marit Bouwmeester
CUB,Boxing at the 2012 Summer Olympics – Men's lightweight,3,Yasniel Toledo
ITA,Boxing at the 2012 Summer Olympics – Men's heavyweight,2,Clemente Russo
USA,Athletics at the 2012 Summer Olympics – Women's long jump,1,Brittney Reese
JPN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Miyu Otsuka
GBR,Cycling at the 2012 Summer Olympics – Men's Keirin,1,Chris Hoy
MAR,Athletics at the 2012 Summer Olympics – Men's 1500 metres,3,Abdelati Iguider
KOR,Fencing at the 2012 Summer Olympics - Men's Épée; Individual,3,Jung Jin-Sun
CHN,Swimming at the 2012 Summer Olympics – Men's 200 metre freestyle,2,Sun Yang
BRA,Sailing at the 2012 Summer Olympics – Star class,3,Bruno Prada;Robert Scheidt
UKR,Boxing at the 2012 Summer Olympics – Men's light heavyweight,3,Oleksandr Gvozdyk
DEN,Badminton at the 2012 Summer Olympics – Mixed doubles,3,Joachim Fischer Nielsen;Christinna Pedersen
CHN,Boxing at the 2012 Summer Olympics – Women's flyweight,2,Cancan Ren
RUS,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Fyodor Borisow
FIN,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Antti Raita
,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Robert Birker
UKR,Gymnastics at the 1996 Summer Olympics – Women's floor,1,Lilia Podkopayeva
ROU,Gymnastics at the 2000 Summer Olympics – Women's artistic individual all-around,1,Simona Amânar
CUB,Athletics at the 2000 Summer Olympics – Men's high jump,2,Javier Sotomayor
MAR,Athletics at the 1988 Summer Olympics - Men's 800 metres,3,Said Aouita
CHN,Weightlifting at the 2004 Summer Olympics - Women's 48 kg,2,Zhuo Li
SWE,Athletics at the 2004 Summer Olympics - Men's Triple Jump,1,Christian Olsson
NZL,Canoeing at the 1988 Summer Olympics - Men's K-1 500 metres,3,Paul MacDonald
TUR,Weightlifting at the 2004 Summer Olympics - Women's 48 kg,1,Nurcan Taylan
KOR,Judo at the 1996 Summer Olympics - Men's Half-Heavyweight (95kg),2,Min-Soo Kim
NED,Judo at the 2000 Summer Olympics - Men's Middleweight (90 kg),1,Mark Huizinga
CHN,Diving at the 2000 Summer Olympics - Women's 10 metre platform,2,Na Li
CAN,Cycling at the 2004 Summer Olympics - Women's Sprint,1,Lori-Ann Muenzer
FIN,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Welterweight,2,Marko Yli-Hannuksela
RUS,Athletics at the 2004 Summer Olympics - Men's Javelin Throw,3,Sergei Makarov
RUS,Athletics at the 2004 Summer Olympics - Women's Pole Vault,1,Yelena Isinbayeva
RUS,Gymnastics at the 2004 Summer Olympics - Women's rhythmic individual all-around,2,Irina Tchachina
ETH,Athletics at the 2004 Summer Olympics - Women's 5;000 metres,1,Meseret Defar
GER,Canoeing at the 2000 Summer Olympics - Men's slalom K-1,1,Thomas Schmidt
BEL,Shooting at the 1988 Summer Olympics - Trap,3,Francine Peeters
CHN,Shooting at the 2000 Summer Olympics - Women's 10 metre air rifle,3,Jing Gao
ITA,Shooting at the 1996 Summer Olympics - Men's 50 metre pistol,3,Roberto Di Donna
FIN,Athletics at the 1988 Summer Olympics - Men's javelin throw,3,Seppo Räty
NED,Swimming at the 2000 Summer Olympics - Men's 4x200 metre freestyle relay,3,Pieter van den Hoogenband;Martijn Zuijdweg;Johan Kenkhuis;Marcel Wouda
,Athletics at the 1952 Summer Olympics - Men's Hammer Throw,,Muhammad Iqbal
ARG,Tennis at the 2004 Summer Olympics - Women's Doubles,3,Paola Suárez;Patricia Tarabini
CZE,Shooting at the 1996 Summer Olympics - Men's 10 metre running target,3,Miroslav Janus
CRO,Tennis at the 2004 Summer Olympics - Men's Doubles,3,Mario An?i?;Ivan Ljubi?i?
CAN,Boxing at the 1988 Summer Olympics - Middleweight,2,Egerton Marcus
CUB,Boxing at the 2008 Summer Olympics - Bantamweight,2,Yankiel Leon
ITA,Sailing at the 2008 Summer Olympics - Women's sailboard,2,Alessandra Sensini
SWE,Shooting at the 2000 Summer Olympics - Women's Double Trap,1,Pia Hansen
JPN,Judo at the 2000 Summer Olympics - Men's Extra Lightweight (-60 kg),1,Tadahiro Nomura
BLR,Athletics at the 2004 Summer Olympics - Women's 100 metres,1,Yulia Nesterenko
CHN,Diving at the 2004 Summer Olympics - Women's 3 metre springboard,1,Guo Jingjing
AUT,Sailing at the 2004 Summer Olympics - Open Laser class,2,Andreas Geritzer
ITA,Shooting at the 2004 Summer Olympics - Men's Skeet,1,Andrea Benelli
ZIM,Swimming at the 2004 Summer Olympics - Women's 100 metre backstroke,2,Kirsty Coventry
USA,Swimming at the 2004 Summer Olympics - Men's 100 metre butterfly,1,Michael Phelps
URS,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Featherweight,1,Kamandar Madzhidov
USA,Athletics at the 1984 Summer Olympics - Men's Long Jump,1,Carl Lewis
USA,Wrestling at the 1984 Summer Olympics - Men's Freestyle Heavyweight,1,Lou Banach
SUI,Cycling at the 2004 Summer Olympics - Women's road time trial,3,Karin Thürig
SUI,Ski jumping at the 2002 Winter Olympics - Large Hill,1,Simon Ammann
ARG,Sailing at the 2000 Summer Olympics - Women's  Europe,3,Serena Amato
USA,Short Track Speed Skating at the 2002 Winter Olympics - Men's 1500m,1,Apolo Anton Ohno
URS,Gymnastics at the 1972 Summer Olympics – Women's artistic individual all-around,3,Tamara Lazakovich
RUS,Gymnastics at the 2000 Summer Olympics – Women's rhythmic individual all-around,1,Yulia Barsukova
URS,Gymnastics at the 1972 Summer Olympics – Women's balance beam,2,Tamara Lazakovich
NZL,Swimming at the 1988 Summer Olympics – Men's 200 metre backstroke,3,Paul Kingsman
BLR,Gymnastics at the 2000 Summer Olympics – Women's rhythmic individual all-around,2,Yulia Raskina
GER,Rowing at the 2000 Summer Olympics - Women's Single Sculls,3,Katrin Rutschow-Stomporowski
CUB,Boxing at the 2004 Summer Olympics - Light Flyweight,1,Yan Bartelemí Varela
ITA,Sailing at the 2000 Summer Olympics - Finn Class,2,Luca Devoti
UZB,Boxing at the 2004 Summer Olympics - Light Heavyweight,3,Utkirbek Haydarov
USA,Swimming at the 1984 Summer Olympics - Men's 100 metre backstroke,1,Rick Carey
RUS,Biathlon at the 2010 Winter Olympics – Women's relay,1,Anna Bogaliy-Titovets;Olga Zaitseva;Svetlana Sleptsova;Olga Pyleva
USA,Short track speed skating at the 2010 Winter Olympics – Men's 5000 metre relay,3,Simon Cho;J. R. Celski;Travis Jayner;Jordan Malone;Apolo Anton Ohno
GBR,Swimming at the 2012 Summer Olympics – Women's 400 metre freestyle,3,Rebecca Adlington
AUS,Water polo at the 2012 Summer Olympics – Women's tournament,3,Victoria Brown;Melissa Rippon;Alicia McCormack;Gemma Beadsworth;Kate Gynther;Holly Lincoln-Smith;Glencora Ralph;Sophie Smith;Rowena Webster;Jane Moran;Nicola Zagame;Bronwen Knox
EST,Athletics at the 2012 Summer Olympics – Men's discus throw,3,Gerd Kanter
USA,Swimming at the 2012 Summer Olympics – Men's 400 metre freestyle,3,Peter Vanderkaay
USA,Swimming at the 2012 Summer Olympics – Men's 200 metre individual medley,1,Michael Phelps
AZE,Wrestling at the 2012 Summer Olympics – Women's freestyle 55 kg,3,Yuliya Ratkevich
RUS,Cycling at the 2012 Summer Olympics – Women's road race,3,Olga Zabelinskaya
GBR,Rowing at the 2012 Summer Olympics – Women's coxless pair,1,Helen Glover;Heather Stanning
CAN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Stephanie Horner
CHN,Figure skating at the 2006 Winter Olympics - Pairs,2,Zhang Hao
GBR,Volleyball at the 1996 Summer Olympics - Women's beach volleyball,,Audrey Cooper;Amanda Glover
USA,Alpine skiing at the 2002 Winter Olympics – Men's giant slalom,2,Bode Miller
,Football at the 2008 Summer Olympics - Women's tournament,,Linda Forsberg
CZE,Volleyball at the 2000 Summer Olympics - Men's beach volleyball,,Martin Lébl;Michal Palinek
USA,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,,Jake Gibb;Sean Rosenthal
LAT,Cycling at the 2012 Summer Olympics – Men's BMX,1,M?ris Štrombergs
ESP,Swimming at the 2012 Summer Olympics – Women's 800 metre freestyle,2,Mireia Belmonte Garcia
JPN,Judo at the 2012 Summer Olympics – Women's 63 kg,3,Yoshie Ueno
JPN,Badminton at the 2012 Summer Olympics – Women's doubles,2,Mizuki Fujii;Reika Kakiiwa
NZL,Cycling at the 2012 Summer Olympics – Women's BMX,2,Sarah Walker
BRA,Boxing at the 2012 Summer Olympics – Men's middleweight,2,Esquiva Florentino
CHN,Table Tennis at the 2012 Summer Olympics- Men's Team,1,Ma Long;Zhang Jike;Wang Hao
NED,Gymnastics at the 2012 Summer Olympics – Men's horizontal bar,1,Epke Zonderland
UZB,Judo at the 2012 Summer Olympics – Men's 60 kg,3,Rishod Sobirov
SWE,Volleyball at the 1988 Summer Olympics - Men's volleyball,,
NOR,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Iver Horrem;Bjørn Maaseide
USA,Volleyball at the 2008 Summer Olympics - Men's volleyball,1,David Lee;Tom Hoff;Richard Lambourne;Ryan Millar;Reid Priddy;Lloy Ball;Gabe Gardner;Riley Salmon;Scott Touzinsky;Kevin Hansen;Sean Rooney;Clay Stanley
GER,Nordic combined at the 2006 Winter Olympics – Individual Gundersen,1,Georg Hettich
CUB,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,,Dalixia Fernández;Tamara Larrea
