Iocode,event,medal,medalist
NOR,Speed skating at the 2010 Winter Olympics – Men's 1500 metres,3,Håvard Bøkko
SUI,Ski jumping at the 2010 Winter Olympics – Large hill individual,1,Simon Ammann
AUT,Nordic combined at the 2010 Winter Olympics – Team large hill/4 x 5 km,1,Bernhard Gruber;Mario Stecher;David Kreiner;Felix Gottwald
SWE,Alpine skiing at the 2010 Winter Olympics – Women's Super Combined,3,Anja Pärson
RUS,Biathlon at the 2010 Winter Olympics – Men's relay,3,Evgeny Ustyugov;Ivan Tcherezov;Anton Shipulin;Maxim Tchoudov
GER,Biathlon at the 2010 Winter Olympics – Women's relay,3,Martina Glagow;Simone Hauswald;Andrea Henkel;Kati Wilhelm
FRA,Judo at the 2008 Summer Olympics – Women's 78 kg,3,Stephanie Possamai
KOR,,3,Pak Chol Min
RUS,Wrestling at the 2008 Summer Olympics - Men's Freestyle Featherweight,1,Mavlet Batirov
URS,Diving at the 1980 Summer Olympics - Women's 10 metre platform,3,Liana Tsotadze
KEN,Athletics at the 2008 Summer Olympics - Women's marathon,2,Catherine Ndereba
USA,Diving at the 1920 Summer Olympics - Men's 10 metre platform,1,Clarence Pinkston
FRA,Gymnastics at the 2008 Summer Olympics - Men's artistic individual all-around,3,Benoît Caranobe
ITA,Judo at the 2008 Summer Olympics - Women's 57 kg,1,Giulia Quintavalle
AUS,Swimming at the 2008 Summer Olympics - Women's 200 metre Individual Medley,1,Stephanie Rice
USA,Basketball at the 2004 Summer Olympics - Men's basketball,3,Dwyane Wade;Lamar Odom;Emeka Okafor;Stephon Marbury;Tim Duncan;Carmelo Anthony;Carlos Boozer;Shawn Marion;LeBron James;Richard Jefferson;Amare Stoudemire;Allen Iverson
USA,Swimming at the 2008 Summer Olympics - Men's 200 metre freestyle,3,Peter Vanderkaay
AUS,Swimming at the 2008 Summer Olympics - Men's 4 x 100 metre freestyle relay,3,Matt Targett;Leith Brodie;Andrew Lauterstein;Eamon Sullivan;Ashley Callus;Patrick Murphy
ITA,Archery at the 2008 Summer Olympics - Men's team,2,Marco Galiazzo;Mauro Nespoli;Ilario di Buo
CZE,Canoeing at the 2008 Summer Olympics - Men's slalom C-2,2,Ond?ej Št?pánek;Jaroslav Volf
FRA,Judo at the 2008 Summer Olympics – Men's Half Lightweight (66 kg),2,Benjamin Darbelet
AUS,Cycling at the 2008 Summer Olympics - Women's Sprint,2,Anna Meares
AUS,Diving at the 2004 Summer Olympics - Men's synchronized 10 metre platform,3,Mathew Helm;Robert Newbery
ROU,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,3,Maria Cioncan
NOR,Figure skating at the 1920 Summer Olympics - Men's singles,3,Martin Stixrud
GDR,Speed Skating at the 1988 Winter Olympics - Men's 1000m,2,Uwe-Jens Mey
BEL,Judo at the 1980 Summer Olympics - Half-Heavyweight (95kg) Men,1,Robert Van De Walle
FRA,Judo at the 1980 Summer Olympics - Men's Half Middleweight (78kg),3,Bernard Tchoullouyan
BEL,Shooting at the 1900 Summer Olympics - Men's 300 metre rifle; three positions,3,Paul van Asbroeck
ROU,Boxing at the 1996 Summer Olympics - Lightweight,3,Leonard Doroftei
USA,Sailing at the 1948 Summer Olympics - Firefly Class,2,Ralph Liggett Evans Jr.
FRA,Handball at the 1992 Summer Olympics,3,Alain Portes
PUR,Boxing at the 1948 Summer Olympics - Bantamweight,3,Juan Evangelista Venegas
AUS,Shooting at the 1996 Summer Olympics - Women's Double Trap,3,Deserie Huddleston
GDR,Athletics at the 1988 Summer Olympics - Women's Long Jump,2,Heike Drechsler
