teamID,iocCode,name,rank,team,eventID,gameID,disciplineID
141,CHN,Sailing at the 2012 Summer Olympics – Women's Laser Radial class,1,Xu Lijia,45,48,399
142,KEN,Athletics at the 2012 Summer Olympics – Women's 10;000 metres,2,Sally Kipyego,48,48,247
143,CHN,Short Track Speed Skating at the 1992 Winter Olympics - Women's 500m,2,Li Yan,174,38,294
144,JAM,Athletics at the 1996 Summer Olympics - Women's 200 metres,2,Merlene Ottey,127,40,716
145,KAZ,Wrestling at the 2008 Summer Olympics - Men's freestyle Super Heavyweight,3,Marid Mutalimov,253,46,779
146,CZE,Canoeing at the 2012 Summer Olympics – Men's slalom K-1,2,Vav?inec Hradílek,285,48,447
147,CHN,Gymnastics at the 2012 Summer Olympics – Women's uneven bars,2,He Kexin,281,48,257
148,ISL,Handball at the 1992 Summer Olympics - Men's tournament,,Patrekur Jóhannesson,122,37,689
149,GER,Canoeing at the 2012 Summer Olympics – Men's slalom C-1,2,Sideris Tasiadis,92,48,416
150,RSA,Swimming at the 2012 Summer Olympics – Men's 100 metre butterfly,2,Chad le Clos,93,48,652
151,NZL,Equestrian at the 2012 Summer Olympics - Team eventing,3,Andrew Nicholson;Jonathan Paget;Jonelle Richards;Caroline Powell;Mark Todd,282,48,225
152,ARM,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 74 kg,2,Arsen Julfalakyan,287,48,635
153,OOO,Football at the 2008 Summer Olympics - Women's tournament,,Lisa Dahlkvist,177,46,299
154,RSA,Swimming at the 2004 Summer Olympics - Men's 100 metre freestyle,2,Roland Mark Schoeman,179,44,698
155,KOR,Judo at the 1996 Summer Olympics - Men's Middleweight (86kg),1,Jeon Ki-Young,129,40,728
156,NOR,Biathlon at the 2010 Winter Olympics – Men's sprint,2,Emil Hegle Svendsen,131,47,320
157,USA,Athletics at the 2008 Summer Olympics - Women's heptathlon,2,Hyleas Fountain,260,46,248
158,GBR,Swimming at the 2008 Summer Olympics - Women's 800 metre freestyle,1,Rebecca Adlington,255,46,656
159,FRA,Gymnastics at the 1924 Summer Olympics - Men's Horizontal Bar,3,Andr Higelin,176,8,701
160,RSA,Weightlifting at the 1948 Summer Olympics - Men's Middleweight 67.5-75 kg,3,Kim Seong-Jip,308,16,202
161,USA,Shooting at the 1960 Summer Olympics -Men's 25 metre rapid fire pistol,1,William McMillan,221,22,509
162,BUL,Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg,2,Krastyu Semerdzhiev,112,30,187
163,UTA,Gymnastics at the 1992 Summer Olympics – Men's artistic individual all-around,3,Valery Belenky,166,37,584
164,YUG,Gymnastics at the 1964 Summer Olympics - Men's pommel horse,1,Miroslav Cerar,210,24,306
165,URS,Wrestling at the 1956 Summer Olympics - Men's Freestyle Light Heavyweight,2,Boris Kulaev,162,20,32
166,ROU,Wrestling at the 1968 Summer Olympics - Men's Greco-Roman Bantamweight,2,Ion Baciu,291,26,454
167,SWE,Boxing at the 1972 Summer Olympics - Heavyweight,3,Hasse Thomsén,65,27,113
168,UTA,Wrestling at the 1992 Summer Olympics - Men's Freestyle Lightweight,1,Arsen Fadzayev,190,37,218
169,OOO,Football at the 2008 Summer Olympics - Women's tournament,,Anna Paulson,177,46,299
170,OOO,Football at the 2008 Summer Olympics - Women's tournament,,Johanna Almgren,177,46,299
171,USA,Gymnastics at the 2004 Summer Olympics - Women's Uneven Bars,3,Courtney Kupets,88,44,257
172,GER,Swimming at the 2004 Summer Olympics - Women's 200 metre backstroke,3,Antje Buschschulte,202,44,442
173,OOO,Football at the 2008 Summer Olympics - Women's tournament,,Jessica Landström,177,46,299
174,GBR,Rowing at the 2012 Summer Olympics – Women's lightweight double sculls,1,Sophie Hosking;Katherine Copeland,230,48,755
175,USA,Athletics at the 2004 Summer Olympics - Men's 200 metres,1,Shawn Crawford,235,44,157
176,LTU,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 74 kg,3,Aleksandr Kazakevi?,287,48,635
177,USA,Diving at the 1984 Summer Olympics - Men's 3 metre springboard,1,Greg Louganis,81,33,710
178,AUS,Swimming at the 2008 Summer Olympics - Men's 1500 metre freestyle,2,Grant Hackett,297,46,704
179,KAZ,Cycling at the 2000 Summer Olympics - Men's individual road race,2,Alexander Vinokourov,214,42,149
180,ARG,Cycling at the 1952 Summer Olympics - Men's sprint,,Antonio Giménez,90,18,264
181,JPN,Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),1,Shinji Hosokawa,57,33,705
182,TCH,Athletics at the 1952 Summer Olympics - Men's Marathon,1,Emil Zátopek,146,18,661
183,AUT,Equestrian at the 1936 Summer Olympics - Dressage; Individual,3,Alois Podhajsky,106,14,232
184,URS,Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke,2,Vladimir Kosinsky,117,26,4
185,FRA,Gymnastics at the 1900 Summer Olympics - Men's artistic individual all-around,1,Gustave Sandras,109,2,584
186,USA,Swimming at the 2012 Summer Olympics – Women's 200 metre breaststroke,1,Rebecca Soni,138,48,95
187,FRA,Alpine skiing at the 1948 Winter Olympics - Men's combined,1,Henri Oreiller,205,17,394
188,GER,Table Tennis at the 1996 Summer Olympics - Men's Singles,3,Jörg Rosskopf,137,40,158
189,URS,Cross-Country Skiing at the 1976 Winter Olympics - Men's 15km,2,Yevgeny Belyaev,169,29,301
190,MEX,Diving at the 2008 Summer Olympics - Women's Synchronised 10m Platform,3,Tatiana Ortiz;Paola Espinosa,44,46,747
191,USA,Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,2,Richard Lawrence Voliva,226,14,371
192,KOR,Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),2,Kim Jae-Yup,57,33,705
193,USA,Gymnastics at the 1992 Summer Olympics – Women's Balance Beam,2,Shannon Miller,219,37,707
194,USA,Alpine Skiing at the 1964 Winter Olympics - Women's Slalom,3,Jean Saubert,309,24,733
195,NOR,Speed Skating at the 1936 Winter Olympics - Men's 500m,1,Ivar Ballangrud,34,15,219
196,NOR,Speed Skating at the 1936 Winter Olympics - Men's 500m,1,Ivar Ballangrud,35,15,769
197,ISR,Sailing at the 2004 Summer Olympics - Men's sailboard,1,Gal Fridman,317,44,303
198,USA,Diving at the 1984 Summer Olympics - Men's 3 metre springboard,3,Ronald Marshall Merriott,81,33,710
199,CHN,Judo at the 2008 Summer Olympics – Women's 52 kg,1,Xian Dongmei,302,46,283
200,URS,Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg,2,Dito Shanidze,128,26,575
201,VEN,Cycling at the 1952 Summer Olympics - Men's sprint,,Luis Toro,90,18,264
202,FRA,Gymnastics at the 1984 Summer Olympics - Men's Floor Exercises,3,Philippe Vatuone,277,33,511
203,GBR,Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,1,Malcolm Cooper,276,33,697
204,CUB,Judo at the 2000 Summer Olympics - Women's 70 kg,1,Sibelis Veranes,326,42,589
205,CHI,Cycling at the 1952 Summer Olympics - Men's sprint,,Hernán Masanés,90,18,264
206,EGY,Boxing at the 2004 Summer Olympics - Heavyweight,3,Mohamed Elsayed,328,44,446
207,DEN,Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; prone,2,Torben Grimmel,24,42,52
208,JPN,Cycling at the 1952 Summer Olympics - Men's sprint,,Kihei Tomioka,90,18,264
209,SUI,Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,2,Daniel Nipkow,276,33,697
210,ITA,Cycling at the 1952 Summer Olympics - Men's sprint,1,Enzo Sacchi,90,18,264
211,USA,Shooting at the 1964 summer Olympics - Men's 50 metre rifle; three positions,1,Lones Wigger,51,24,697
212,AUS,Swimming at the 1964 Summer Olympics – Men's 1500 metre freestyle,3,Allan Wood,157,24,704
213,JPN,Swimming at the 2004 Summer Olympics - Women's 200 metre backstroke,3,Reiko Nakamura,202,44,442
214,GBR,Swimming at the 2008 Summer Olympics - Women's 400 metre freestyle,1,Rebecca Adlington,6,46,649
215,NOR,Cross-country skiing at the 2010 Winter Olympics – Women's 15 kilometre pursuit,1,Marit Bjørgen,118,47,87
216,USA,Swimming at the 1964 Summer Olympics – Men's 1500 metre freestyle,2,John Nelson,157,24,704
217,USA,Gymnastics at the 2004 Summer Olympics - Women's Uneven Bars,2,Terin Humphrey,88,44,257
218,SYR,Boxing at the 2004 Summer Olympics - Heavyweight,3,Naser Al Shami,328,44,446
219,JPN,Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg,1,Yoshinobu Miyake,128,26,575
220,GBR,Tennis at the 1908 Summer Olympics - Women's Indoor Singles,2,Angela Greene,182,5,546
221,PRK,Short Track Speed Skating at the 1992 Winter Olympics - Women's 500m,3,Hwang Ok-Sil,174,38,294
222,GBR,Diving at the 1924 Summer Olympics - Men's plain high diving,3,Harold Clarke,87,8,423
223,GRE,Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,3,Georgios Khatziioannidis,12,32,369
224,URS,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Lightweight,1,Suren Nalbandyan,321,30,455
225,JPN,Wrestling at the 1988 Summer Olympics - Men's freestyle Light Heavyweight,2,Akira Ota,189,36,562
226,GDR,Gymnastics at the 1972 Summer Olympics – Women's uneven bars,2,Erika Zuchold,217,27,257
227,BEL,Cycling at the 1952 Summer Olympics - Men's sprint,,Stéphan Martens,90,18,264
228,URS,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Light Heavyweight,3,Vladimir Popov,185,36,517
229,USA,Athletics at the 1972 Summer Olympics - Men's High Jump,3,Dwight Stones,218,27,166
230,URS,Athletics at the 1988 Summer Olympics - Women's 3000 metres,1,Tatyana Samolenko,19,36,241
231,CAN,Canoeing at the 2008 Summer Olympics - Men's C-1 1000 metres,3,Thomas Hall,248,46,259
232,GER,Biathlon at the 1992 Winter Olympics - Men's 10km Sprint,2,Ricco Gross,103,38,320
233,ITA,Gymnastics at the 1912 Summer Olympics - Men's artistic individual all-around,3,Serafino Mazzarochi,16,6,584
234,USA,Shooting at the 1924 Summer Olympics - Trap,3,Frank Hughes,203,8,22
235,TUR,Wrestling at the 1960 Summer Olympics - Men's Freestyle Middleweight,1,Hasan Güngör,144,22,31
236,USA,Gymnastics at the 1984 Summer Olympics – Men's rings,3,Mitch Gaylord,96,33,58
237,ITA,Cross Country Skiing at the 1992 Winter Olympics - Men's 15km Pursuit,3,Giorgio Vanzetta,62,38,457
238,AUS,Swimming at the 1968 Summer Olympics – Men's 200 metre freestyle,1,Michael Wenden,156,26,236
239,JPN,Gymnastics at the 1976 Summer Olympics – Men's parallel bars,1,Sawao Kato,100,30,666
