teamID, name
2660,Edward Gal
2660,Adelinde Cornelissen
2688,Charlotte Kalla
2688,Anna Haag
2702,Fernanda Venturini
2702,Cristina Lopes
2702,Ana Flavia Daniel
2702,Hilma Caldeira
2702,Hélia Souza
2702,Cilene Rocha
2702,Ana Paula Connelly
2702,Ana Lucia Barros
2702,Marcia Regina Cunha
2702,Leila Barros
2702,Ana Beatriz Moser
2702,Ana Ida Alvares
2703,Anastasia Grishina
2703,Aliya Mustafina
2703,Ksenia Afanasyeva
2703,Maria Paseka
2703,Viktoria Komova
2709,Hailiang Xiao
2709,Ni Xiong
2711,Anne Jardin
2711,Barbara Clark
2711,Gail Amundrud
2711,Becky Smith
2718,Hongbo Zhao
2718,Xue Shen
2723,Caren Kemner
2723,Paula Weishoff
2723,Tara Cross-Battle
2723,Yoko Zetterlund
2723,Kim Oden
2723,Janet Cobbs
2723,Ruth Lawanson
2723,Lori Endicott
2723,Elaina Oden
2723,Tammy Liley
2723,Teee Sanders
2723,Liane Sato
2727,Claudia Künzel
2727,Evi Sachenbacher-Stehle
2728,Richard Sanders
2728, Olympic Wrestler
2740,Natalia Korosteleva
2740,Irina Khazova
2748,Ralph Metcalfe
2748,Foy Draper
2748,Jesse Owens
2748,Frank Wykoff
2760,Tobias Schellenberg
2760,Andreas Wels
2802,Andreas Ihle
2802,Martin Hollstein
2830,Robin Szolkowy
2830,Aljona Sawtschenko
2831,Kristian Ipsen
2831,Troy Dumais
2841,Helen Langehanenberg
2841,Dorothee Schneider
2841,Kristina Sprehe
2854,Roland Kökény
2854,Rudolf Dombi
2884,Su Huijuan
2884,Zhou Hong
2884,Su Liqun
2884,Wang Yi
2884,Chen Fengqin
2884,Lai Yawen
2884,Ma Fang
2884,Yue-Ming Li
2884,Wu Dan
2884,Gao Lin
2884,Sun Yue
2884,Guo-Jun Li
2887,Steven Barnett
2887,Robert Newbery
2966,Scott Moir
2966,Tessa Virtue
2975,Laura Bechtolsheimer
2975,Carl Hester
2975,Charlotte Dujardin
2989,Robert Newbery
2989,Dean Pullar
3021,Maxim Shabalin
3021,Oksana Domnina
3057,Erich Borchmeyer
3057,Erwin Gillmeister
3057,Gerd Hornberger
3057,Wilhelm Leichum
3058,Yannick Kocon
3058,Nicole Della Monica
3085,Marjolein de Jong
3085,Henriëtte Weersing
3085,Linda Moons
3085,Irena Machovcak
3085,Marrit Leenstra
3085,Aafke Hament
3085,Heleen Crielaard
3085,Sandra Wiegers
3085,Cintha Boersma
3085,Kirsten Gleis
3085,Erna Brinkman
3085,Vera Koenen
3127,Tatyana Menshova
3127,Svetlana Korytova
3127,Elena Tyurina
3127,Valentina Ogienko
3127,Marina Nikulina
3127,Svetlana Vassilevskaya
3127,Galina Lebedeva
3127,Natalya Morozova
3127,Elena Chebukina
3127,Evgenya Artamonova
3127,Irina Smirnova
3127,Tatyana Sidorenko
3156,Claudia Hempel
3156,Kornelia Ender
3156,Petra Priemer
3156,Andrea Pollack
3192,Charlie White
3192,Meryl Davis
3208,Rii Seike
3208,Yuki Ishizaka
3209,Nalbert Betancourt
3209,Giba
3209,Alexandre Samuel
3209,Dante Amaral
3209,Maurício Lima
3209,Gustavo Endres
3209,Max Pereira
3209,Douglas Chiarotti
3209,Marcelo Elgarten
3209,Giovane Gavio
3209,Gilmar Teixeira
3209,André Heller
3210,Elizaveta Tichtchenko
3210,Natalya Morozova
3210,Evgenya Artamonova
3210,Inessa Korkmaz
3210,Elena Tyurina
3210,Elena Godina
3210,Olga Potachova
3210,Lioubov Chachkova
3210,Tatyana Gratcheva
3210,Anastassia Belikova
3210,Elena Vassilevskaya
3210,Ekaterina Gamova
3217,Dwyane Wade
3217,Lamar Odom
3217,Emeka Okafor
3217,Stephon Marbury
3217,Tim Duncan
3217,Carmelo Anthony
3217,Carlos Boozer
3217,Shawn Marion
3217,LeBron James
3217,Richard Jefferson
3217,Amare Stoudemire
3217,Allen Iverson
3218,Mathew Helm
3218,Robert Newbery
3254,Mats Sundin
3254,Fredrik Modin
3254,Kenny Jönsson
3254,Christian Bäckman
3254,Nicklas Lidström
3254,Henrik Lundqvist
3254,Henrik Zetterberg
3254,Tomas Holmström
3254,Stefan Liv
3254,Daniel Alfredsson
3254,Per Johan Axelsson
3254,Samuel Påhlsson
3254,Henrik Sedin
3254,Mattias Öhlund
3254,Mika Hannula
3254,Daniel Tjärnqvist
3254,Niclas Hävelid
3254,Mikael Tellqvist
3254,Jörgen Jönsson
3254,Niklas Kronwall
3254,Mikael Samuelsson
3254,Daniel Sedin
3254,Ronnie Sundin
3254,Peter Forsberg
3265,Mark Williams
3265,Ben Loft
3265,Hidde Van Beest
3265,Daniel Howard
3265,Russell Wentworth
3265,David Beard
3265,Steven Keir
3265,Benjamin Hardy
3265,Nathan Jakavicius
3265,Scott Newcomb
3265,Dan Ronan
3265,Spiros Marazios
3289,Alejandro Montecchia
3289,Carlos Delfino
3289,Fabricio Oberto
3289,Andrés Nocioni
3289,Juan Ignacio Sánchez
3289,Hugo Sconochini
3289,Wálter Herrmann
3289,Gabriel Fernández
3289,Manu Ginóbili
3289,Rubén Wolkowyski
3289,Luis Scola
3289,Leonardo Gutiérrez
3302,Joseph Sullivan
3302,Nathan Cohen
3303,Iztok ?op
3303,Luka Spik
3320,Rebecca Johnston
3320,Sarah Vaillancourt
3320,Catherine Ward
3320,Tessa Bonhomme
3320,Jennifer Botterill
3320,Cherie Piper
3320,Gina Kingsbury
3320,Meaghan Mikkelson
3320,Caroline Ouellette
3320,Meghan Agosta
3320,Hayley Wickenheiser
3320,Marie-Philip Poulin
3320,Haley Irwin
3320,Kim St-Pierre
3320,Becky Kellar
3320,Shannon Szabados
3320,Gillian Apps
3320,Jayna Hefford
3320,Colleen Sostorics
3320,Carla MacLeod
3320,Charline Labonté
3340,Femke Heemskerk
3340,Hinkelien Schreuder
3340,Inge Dekker
3340,Ranomi Kromowidjojo
3340,Marleen Veldhuis
3342,Lyudmyla Panchuk
3342,Lyubov Odynokova
3342,Tetyana Kocherhina
3342,Zinaida Turchyna
3342,Tetyana Hlushchenko
3342,Rafiga Shabanova
3342,Halyna Zakharova
3342,Nataliya Tymoshkina
3342,Aldona Nen?nien?
3342,Lyudmila Poradnyk
3342,Lyudmila Shubina
3342,Mariya Litoshenko
3342,Larysa Karlova
3342,Nina Lobova
3344,Rafael Pereira da Silva
3344,Gabriel Vasconcellos Ferreira
3344,Bruno Uvini Bortolança
3344,Leandro Damião
3344,Alex Sandro Lobo Silva
3344,Marcelo Vieira
3344,Oscar dos Santos Emboaba Junior
3344,Norberto Murara Neto
3344,Neymar da Silva
3344,Danilo Luiz da Silva
3344,Thiago Emiliano da Silva
3344,Lucas Rodrigues Moura da Silva
3344,Juan Guilherme Nunes Jesus
3344,Alexandre Rodrigues da Silva
